time, out0, cell
663.0, 14941.0, 1.0
664.0, 14940.0, 1.0
665.0, 14955.0, 1.0
666.0, 14965.0, 1.0
667.0, 14964.0, 1.0
668.0, 14976.0, 1.0
669.0, 14972.0, 1.0
670.0, 14976.0, 1.0
671.0, 14983.0, 1.0
672.0, 14964.0, 1.0
673.0, 14989.0, 1.0
674.0, 15003.0, 1.0
675.0, 15014.0, 1.0
676.0, 15010.0, 1.0
677.0, 14997.0, 1.0
678.0, 14990.0, 1.0
679.0, 14979.0, 1.0
680.0, 14983.0, 1.0
681.0, 14992.0, 1.0
682.0, 15009.0, 1.0
683.0, 15013.0, 1.0
684.0, 15014.0, 1.0
685.0, 15036.0, 1.0
686.0, 15044.0, 1.0
687.0, 15023.0, 1.0
688.0, 15013.0, 1.0
689.0, 15007.0, 1.0
690.0, 15022.0, 1.0
691.0, 15014.0, 1.0
692.0, 15019.0, 1.0
693.0, 15028.0, 1.0
694.0, 15036.0, 1.0
695.0, 15036.0, 1.0
696.0, 15042.0, 1.0
697.0, 15050.0, 1.0
698.0, 15040.0, 1.0
699.0, 15026.0, 1.0
700.0, 15021.0, 1.0
701.0, 15002.0, 1.0
702.0, 14999.0, 1.0
703.0, 15001.0, 1.0
704.0, 14999.0, 1.0
705.0, 15016.0, 1.0
706.0, 15027.0, 1.0
707.0, 15040.0, 1.0
708.0, 15045.0, 1.0
709.0, 15020.0, 1.0
710.0, 15025.0, 1.0
711.0, 15026.0, 1.0
712.0, 15024.0, 1.0
713.0, 15034.0, 1.0
714.0, 15050.0, 1.0
715.0, 15061.0, 1.0
716.0, 15061.0, 1.0
717.0, 15057.0, 1.0
718.0, 15053.0, 1.0
719.0, 15042.0, 1.0
720.0, 15042.0, 1.0
721.0, 15041.0, 1.0
722.0, 15027.0, 1.0
723.0, 15037.0, 1.0
724.0, 15044.0, 1.0
725.0, 15037.0, 1.0
726.0, 15049.0, 1.0
727.0, 15061.0, 1.0
728.0, 15049.0, 1.0
729.0, 15046.0, 1.0
730.0, 15057.0, 1.0
731.0, 15062.0, 1.0
732.0, 15087.0, 1.0
733.0, 15076.0, 1.0
734.0, 15080.0, 1.0
735.0, 15085.0, 1.0
736.0, 15087.0, 1.0
737.0, 15102.0, 1.0
738.0, 15098.0, 1.0
739.0, 15103.0, 1.0
740.0, 15109.0, 1.0
741.0, 15118.0, 1.0
742.0, 15098.0, 1.0
743.0, 15108.0, 1.0
744.0, 15110.0, 1.0
745.0, 15114.0, 1.0
746.0, 15114.0, 1.0
747.0, 15116.0, 1.0
748.0, 15105.0, 1.0
749.0, 15129.0, 1.0
750.0, 15128.0, 1.0
751.0, 15126.0, 1.0
752.0, 15115.0, 1.0
753.0, 15119.0, 1.0
754.0, 15135.0, 1.0
755.0, 15140.0, 1.0
756.0, 15149.0, 1.0
757.0, 15146.0, 1.0
758.0, 15140.0, 1.0
759.0, 15131.0, 1.0
760.0, 15143.0, 1.0
761.0, 15144.0, 1.0
762.0, 15142.0, 1.0
763.0, 15142.0, 1.0
764.0, 15143.0, 1.0
765.0, 15149.0, 1.0
766.0, 15157.0, 1.0
767.0, 15141.0, 1.0
768.0, 15155.0, 1.0
769.0, 15140.0, 1.0
770.0, 15142.0, 1.0
771.0, 15161.0, 1.0
772.0, 15167.0, 1.0
773.0, 15162.0, 1.0
774.0, 15162.0, 1.0
775.0, 15171.0, 1.0
776.0, 15170.0, 1.0
777.0, 15186.0, 1.0
778.0, 15174.0, 1.0
779.0, 15178.0, 1.0
780.0, 15175.0, 1.0
781.0, 15174.0, 1.0
782.0, 15170.0, 1.0
783.0, 15178.0, 1.0
784.0, 15207.0, 1.0
785.0, 15212.0, 1.0
786.0, 15219.0, 1.0
787.0, 15226.0, 1.0
788.0, 15238.0, 1.0
789.0, 15240.0, 1.0
790.0, 15263.0, 1.0
791.0, 15256.0, 1.0
792.0, 15272.0, 1.0
793.0, 15261.0, 1.0
794.0, 15252.0, 1.0
795.0, 15260.0, 1.0
796.0, 15261.0, 1.0
797.0, 15255.0, 1.0
798.0, 15263.0, 1.0
799.0, 15260.0, 1.0
800.0, 15266.0, 1.0
801.0, 15268.0, 1.0
802.0, 15279.0, 1.0
803.0, 15272.0, 1.0
804.0, 15287.0, 1.0
805.0, 15294.0, 1.0
806.0, 15303.0, 1.0
807.0, 15318.0, 1.0
808.0, 15331.0, 1.0
809.0, 15335.0, 1.0
810.0, 15326.0, 1.0
811.0, 15313.0, 1.0
812.0, 15299.0, 1.0
813.0, 15295.0, 1.0
814.0, 15294.0, 1.0
815.0, 15309.0, 1.0
816.0, 15310.0, 1.0
817.0, 15315.0, 1.0
818.0, 15323.0, 1.0
819.0, 15337.0, 1.0
820.0, 15350.0, 1.0
821.0, 15344.0, 1.0
822.0, 15341.0, 1.0
823.0, 15336.0, 1.0
824.0, 15322.0, 1.0
825.0, 15353.0, 1.0
826.0, 15365.0, 1.0
827.0, 15369.0, 1.0
828.0, 15372.0, 1.0
829.0, 15374.0, 1.0
830.0, 15399.0, 1.0
831.0, 15415.0, 1.0
832.0, 15434.0, 1.0
833.0, 15456.0, 1.0
834.0, 15451.0, 1.0
835.0, 15425.0, 1.0
836.0, 15433.0, 1.0
837.0, 15435.0, 1.0
838.0, 15430.0, 1.0
839.0, 15428.0, 1.0
840.0, 15429.0, 1.0
841.0, 15440.0, 1.0
842.0, 15434.0, 1.0
843.0, 15428.0, 1.0
844.0, 15424.0, 1.0
845.0, 15419.0, 1.0
846.0, 15421.0, 1.0
847.0, 15423.0, 1.0
848.0, 15423.0, 1.0
849.0, 15412.0, 1.0
850.0, 15415.0, 1.0
851.0, 15425.0, 1.0
852.0, 15433.0, 1.0
853.0, 15444.0, 1.0
854.0, 15446.0, 1.0
855.0, 15453.0, 1.0
856.0, 15422.0, 1.0
857.0, 15442.0, 1.0
